Variance,Skewness,Curtosis,Entropy,Class,Color
-3.38,-0.7077,2.5325,0.71808,1.0,red
-6.9599,8.9931,0.2182,-4.572,1.0,red
-1.6637,3.2881,-2.2701,-2.2224,1.0,red
-5.637,8.1261,0.13081,-5.0142,1.0,red
-1.6662,-0.30005,1.4238,0.024986,1.0,red
5.1776,8.2316,-3.2511,-1.5694,0.0,green
0.6005,0.99945,-2.2126,0.097399,1.0,red
2.877,-4.0599,3.6259,-0.32544,0.0,green
0.24261,0.57318,-1.9402,0.44007,1.0,red
-2.3518,-4.8359,6.6479,-0.060358,1.0,red
-0.95923,0.091039,6.2204,-1.4828,0.0,green
-2.286,-5.4484,5.8039,0.88231,1.0,red
-2.5373,-6.959,8.8054,1.5289,1.0,red
4.0632,3.584,0.72545,0.39481,0.0,green
-6.0598,9.2952,-0.43642,-6.3694,1.0,red
3.9262,6.0299,-2.0156,-0.065531,0.0,green
0.96574,8.393,-1.361,-1.4659,0.0,green
-2.8267,-9.0407,9.0694,-0.98233,1.0,red
-2.0754,1.2767,-0.64206,-1.2642,1.0,red
2.8561,6.9176,-0.79372,0.48403,0.0,green
-1.5055,0.070346,6.8681,-0.50648,0.0,green
-3.9172,2.6652,0.78886,-0.7819,1.0,red
3.4642,10.6878,-3.4071,-4.109,0.0,green
-3.7181,-8.5089,12.363,-0.95518,1.0,red
-0.11783,-1.5789,8.03,-0.028031,0.0,green
3.5458,9.3718,-4.0351,-3.9564,0.0,green
-0.41645,0.32487,-0.33617,-0.36036,1.0,red
-0.36038,4.1158,3.1143,-0.37199,0.0,green
-2.0759,10.8223,2.6439,-4.837,0.0,green
5.7353,5.2808,-2.2598,0.075416,0.0,green
0.88992,2.2638,-3.1046,-0.11855,1.0,red
2.9421,7.4101,-0.97709,-0.88406,0.0,green
4.3848,-3.0729,3.0423,1.2741,0.0,green
-1.7344,2.0175,7.7618,0.93532,0.0,green
-4.4996,3.4288,0.56265,-1.1672,1.0,red
0.27331,4.8773,-4.9194,-5.8198,1.0,red
1.8373,6.1292,0.84027,0.55257,0.0,green
1.2279,4.0309,-4.6435,-3.9125,1.0,red
-1.3995,-1.9162,2.5154,0.59912,1.0,red
-4.3773,-5.5167,10.939,-0.4082,1.0,red
1.1315,7.9212,1.093,-2.8444,0.0,green
0.89512,4.7738,-4.8431,-5.5909,1.0,red
3.5862,-3.0957,2.8093,0.24481,0.0,green
-4.4018,-12.9371,15.6559,-1.6806,1.0,red
5.504,10.3671,-4.413,-4.0211,0.0,green
-0.71494,-4.4448,2.2241,0.49826,1.0,red
-1.7781,0.8546,7.1303,0.027572,0.0,green
2.6946,6.7976,-0.40301,0.44912,0.0,green
0.5195,-3.2633,3.0895,-0.9849,0.0,green
3.7818,-2.8846,2.2558,-0.15734,0.0,green
-4.5531,-12.5854,15.4417,-1.4983,1.0,red
-0.016103,9.7484,0.15394,-1.6134,0.0,green
3.577,2.4004,1.8908,0.73231,0.0,green
2.0843,6.6258,0.48382,-2.2134,0.0,green
3.5288,0.71596,1.9507,1.9375,0.0,green
3.8832,6.4023,-2.432,-0.98363,0.0,green
3.4246,-0.14693,0.80342,0.29136,0.0,green
-1.9922,11.6542,2.6542,-5.2107,0.0,green
2.3917,4.5565,-4.9888,-2.8987,1.0,red
-0.17296,-1.1816,1.3818,0.7336,1.0,red
5.807,5.0097,-2.2384,0.43878,0.0,green
0.94225,5.8561,1.8762,-0.32544,0.0,green
1.6799,4.2068,-4.5398,-2.3931,1.0,red
5.0214,8.0764,-3.0515,-1.7155,0.0,green
1.3087,4.9228,2.0013,0.22024,0.0,green
-5.4901,9.1048,-0.38758,-5.9763,1.0,red
-2.4198,-0.24418,0.70146,0.41809,1.0,red
5.7403,-0.44284,0.38015,1.3763,0.0,green
3.5761,9.7753,-3.9795,-3.4638,0.0,green
0.24835,7.6439,0.9885,-0.87371,0.0,green
-2.8833,1.7713,0.68946,-0.4638,1.0,red
2.2546,8.0992,-0.24877,-3.2698,0.0,green
1.6849,8.7489,-1.2641,-1.3858,0.0,green
-0.048008,-0.56078,7.7215,0.453,0.0,green
-2.5665,-6.8824,7.5416,0.70774,1.0,red
-3.8858,-12.8461,12.7957,-3.1353,1.0,red
-1.5621,-2.2121,4.2591,0.27972,1.0,red
-3.4917,-12.1736,14.3689,-0.61639,1.0,red
0.55298,-3.4619,1.7048,1.1008,1.0,red
4.1927,-3.2674,2.5839,0.21766,0.0,green
1.5268,-5.5871,8.6564,-1.722,0.0,green
3.8999,1.734,1.6011,0.96765,0.0,green
0.52855,0.96427,4.0243,-1.0483,0.0,green
-3.0,-9.1566,9.5766,-0.73018,1.0,red
2.2526,9.9636,-3.1749,-2.9944,0.0,green
-1.6244,-6.3444,4.6575,0.16981,1.0,red
4.1425,-3.6792,3.8281,1.6297,0.0,green
-2.9146,4.0537,-0.45699,-4.0327,1.0,red
-0.24745,1.9368,-2.4697,-0.80518,1.0,red
0.89606,10.5471,-1.4175,-4.0327,0.0,green
0.5706,-0.024841,1.2421,-0.56208,0.0,green
-2.7264,3.9213,-0.49212,-3.6371,1.0,red
3.9364,10.5885,-3.725,-4.3133,0.0,green
0.74054,0.36625,2.1992,0.48403,0.0,green
-0.87874,-2.2121,-0.051701,0.099985,1.0,red
5.2032,3.5116,-1.2538,1.0129,0.0,green
-4.8861,7.0542,-0.17252,-6.959,1.0,red
-1.8387,-6.301,5.6506,0.19567,1.0,red
3.3951,1.1484,2.1401,2.0862,0.0,green
0.5415,6.0319,1.6825,-0.46122,0.0,green
-0.94255,0.039307,-0.24192,0.31593,1.0,red
1.1676,9.1566,-2.0867,-0.80647,0.0,green
1.4884,3.6274,3.308,0.48921,0.0,green
-3.4605,2.6901,0.16165,-1.0224,1.0,red
-1.2424,-1.7175,-0.52553,-0.21036,1.0,red
2.5989,3.5178,0.7623,0.81119,0.0,green
-4.1958,-8.1819,12.1291,-1.6017,1.0,red
2.4527,2.9653,0.20021,-0.056479,0.0,green
1.8384,6.063,0.54723,0.51248,0.0,green
2.5503,-4.9518,6.3729,-0.41596,0.0,green
4.8278,7.7598,-2.4491,-1.2216,0.0,green
0.1848,6.5079,2.0133,-0.87242,0.0,green
-1.7549,-0.080711,-0.75774,-0.3707,1.0,red
6.5633,9.8187,-4.4113,-3.2258,0.0,green
2.6104,8.0081,-0.23592,-1.7608,0.0,green
-0.092194,0.39315,-0.32846,-0.13794,1.0,red
3.9292,-2.9156,2.2129,0.30817,0.0,green
-2.7028,1.6327,0.83598,-0.091393,1.0,red
3.0009,5.8126,-2.2306,-0.66553,0.0,green
-2.0897,10.8265,2.3603,-3.4198,0.0,green
2.4012,1.6223,3.0312,0.71679,0.0,green
-0.82601,2.9611,-1.2864,-1.4647,1.0,red
-2.565,-5.7899,6.0122,0.046968,1.0,red
-2.258,-9.3263,9.3727,-0.85949,1.0,red
-1.979,3.2301,-1.3575,-2.5819,1.0,red
-1.6641,-1.3678,1.997,0.52283,1.0,red
1.5904,2.2121,-3.1183,-0.11725,1.0,red
0.86736,5.5643,1.6765,-0.16769,0.0,green
0.5195,-3.2633,3.0895,-0.9849,0.0,green
4.988,7.2052,-3.2846,-1.1608,0.0,green
1.9358,8.1654,-0.023425,-2.2586,0.0,green
-0.9607,2.6963,-3.1226,-1.3121,1.0,red
-0.16108,-6.4624,8.3573,-1.5216,0.0,green
-0.30432,2.6528,-2.7756,-0.65647,1.0,red
1.2746,8.8172,-1.5323,-1.7957,0.0,green
2.4008,9.3593,-3.3565,-3.3526,0.0,green
1.162,10.2926,-1.2821,-4.0392,0.0,green
5.2756,0.13863,0.12138,1.1435,0.0,green
-4.8554,-5.9037,10.9818,-0.82199,1.0,red
-1.2667,2.8183,-2.426,-1.8862,1.0,red
-2.2623,12.1177,0.28846,-7.7581,0.0,green
3.6941,-3.9482,4.2625,1.1577,0.0,green
0.030219,-1.0512,1.4024,0.77369,1.0,red
0.5706,-0.0248,1.2421,-0.5621,0.0,green
4.7114,2.0755,-0.2702,1.2379,0.0,green
5.2012,0.32694,0.17965,1.1797,0.0,green
-0.95923,-6.7128,4.9857,0.32886,1.0,red
5.4021,3.1039,-1.1536,1.5651,0.0,green
-0.40804,0.54214,-0.52725,0.6586,1.0,red
1.5673,7.9274,-0.056842,-2.1694,0.0,green
2.9163,10.8306,-3.3437,-4.122,0.0,green
1.2309,3.8923,-4.8277,-4.0069,1.0,red
2.0007,1.8644,2.6491,0.47369,0.0,green
-2.659,-1.6058,1.3647,0.16464,1.0,red
-0.36025,-4.449,2.1067,0.94308,1.0,red
3.9102,6.065,-2.4534,-0.68234,0.0,green
0.50225,0.65388,-1.1793,0.39998,1.0,red
-1.9551,-6.9756,5.5383,-0.12889,1.0,red
4.7965,6.9859,-1.9967,-0.35001,0.0,green
1.9647,6.9383,0.57722,0.66377,0.0,green
4.6464,10.5326,-4.5852,-4.206,0.0,green
2.1274,5.1939,-1.7971,-1.1763,0.0,green
4.3846,-4.8794,3.3662,-0.029324,0.0,green
2.3678,-6.839,8.4207,-0.44829,0.0,green
3.8027,0.81529,2.1041,1.0245,0.0,green
-1.9458,11.2217,1.9079,-3.4405,0.0,green
-2.1059,1.1815,-0.53324,-0.82716,1.0,red
-0.70346,2.957,-3.5947,-3.1457,1.0,red
4.2475,1.4816,-0.48355,0.95343,0.0,green
5.2868,3.257,-1.3721,1.1668,0.0,green
-2.3898,-0.78427,3.0141,0.76205,1.0,red
-3.8953,4.0392,-0.3019,-2.1836,1.0,red
-2.341,12.3784,0.70403,-7.5836,0.0,green
-0.3489,3.1929,-3.4054,-3.1832,1.0,red
-0.29858,2.4769,-2.9512,-0.66165,1.0,red
-4.1244,3.7909,-0.6532,-4.1802,1.0,red
-3.5681,-8.213,10.083,0.96765,1.0,red
5.0691,0.21313,0.20278,1.2095,0.0,green
-3.1423,-13.0365,15.6773,-0.66165,1.0,red
1.7452,4.8028,2.0878,0.62627,0.0,green
3.0948,8.7324,-2.9007,-0.96682,0.0,green
0.5195,-3.2633,3.0895,-0.9849,0.0,green
-1.5228,-6.4789,5.7568,0.87325,1.0,red
-2.0891,-0.48422,1.704,1.7435,1.0,red
2.8261,9.4007,-3.3034,-1.0509,0.0,green
-0.76794,3.4598,-3.4405,-3.4276,1.0,red
-3.8053,2.4273,0.6809,-1.0871,1.0,red
3.1896,5.7526,-0.18537,-0.30087,0.0,green
0.77124,9.0862,-1.2281,-1.4996,0.0,green
-3.73,-12.9723,12.9817,-2.684,1.0,red
-4.2333,4.9166,-0.49212,-5.3207,1.0,red
3.6922,-3.9585,4.3439,1.3517,0.0,green
0.91315,3.3377,-4.0557,-1.6741,1.0,red
-2.4953,11.1472,1.9353,-3.4638,0.0,green
-3.7747,2.5162,0.83341,-0.30993,1.0,red
-4.5046,-5.8126,10.8867,-0.52846,1.0,red
0.66018,10.3878,-1.4029,-3.9151,0.0,green
1.7496,-0.1759,5.1827,1.2922,0.0,green
0.7376,4.8525,-4.7986,-5.6659,1.0,red
4.6689,1.3098,0.055404,1.909,0.0,green
1.6472,0.48213,4.7449,1.225,0.0,green
-0.81479,-5.7381,4.3919,0.3211,1.0,red
2.6799,3.1349,0.34073,0.58489,0.0,green
-0.89542,2.0279,-2.3652,-1.2746,1.0,red
-0.70867,-5.5602,4.0483,0.903,1.0,red
-1.1391,1.8127,6.9144,0.70127,0.0,green
1.5701,7.9129,0.29018,-2.1953,0.0,green
1.3349,6.1189,0.46497,0.49826,0.0,green
-1.6706,-2.09,1.584,0.71162,1.0,red
0.3223,-0.89808,8.0883,0.69222,0.0,green
2.0466,2.03,2.1761,-0.083634,0.0,green
-1.4427,3.2922,-1.9702,-3.4392,1.0,red
-4.4775,-13.0303,17.0834,-3.0345,1.0,red
2.1721,-0.73874,5.4672,-0.72371,0.0,green
3.4465,2.9508,1.0271,0.5461,0.0,green
-0.71868,-5.7154,3.8298,1.0233,1.0,red
-1.8629,-0.84841,2.5377,0.097399,1.0,red
2.549,6.1499,-1.1605,-1.2371,0.0,green
-0.28696,3.1784,-3.5767,-3.1896,1.0,red
1.518,5.6946,0.094818,-0.026738,0.0,green
1.4378,0.66837,-2.0267,1.0271,1.0,red
1.4501,3.6067,-4.0557,-1.5966,1.0,red
-1.6952,1.0657,8.8294,0.94955,0.0,green
0.3292,-4.4552,4.5718,-0.9888,0.0,green
3.82,10.9279,-4.0112,-5.0284,0.0,green
-0.28015,3.0729,-3.3857,-2.9155,1.0,red
-2.4824,-7.3046,6.839,-0.59053,1.0,red
1.5514,3.8013,-4.9143,-3.7483,1.0,red
2.1752,-0.8091,5.1022,-0.67975,0.0,green
1.2247,8.7779,-2.2135,-0.80647,0.0,green
3.7982,10.423,-4.1602,-4.9728,0.0,green
2.9736,8.7944,-3.6359,-1.3754,0.0,green
0.22432,-0.52147,-0.40386,1.2017,1.0,red
4.0972,0.46972,1.6671,0.91593,0.0,green
2.031,1.852,-3.0121,0.003003,1.0,red
5.4188,10.1457,-4.084,-3.6991,0.0,green
0.062525,2.9301,-3.5467,-2.6737,1.0,red
3.534,9.3614,-3.6316,-1.2461,0.0,green
2.7213,7.05,-0.58808,0.41809,0.0,green
-0.33729,-0.64976,7.6659,0.72326,0.0,green
-1.6176,1.0926,-0.35502,-0.59958,1.0,red
2.9719,6.8369,-0.2702,0.71291,0.0,green
3.1377,-4.1096,4.5701,0.98963,0.0,green
-1.3885,12.5026,0.69118,-7.5487,0.0,green
4.9362,7.6046,-2.3429,-0.85302,0.0,green
-3.1128,-6.841,10.7402,-1.0172,1.0,red
0.95626,2.4728,4.4578,0.21636,0.0,green
2.6917,10.8161,-3.3,-4.2888,0.0,green
-0.40951,-0.15521,0.060545,-0.088807,1.0,red
0.89566,7.7763,-2.7473,-1.9353,0.0,green
5.6272,10.0857,-4.2931,-3.8142,0.0,green
-2.588,3.8654,-0.3336,-1.2797,1.0,red
0.96788,7.1907,1.2798,-2.4565,0.0,green
0.0040545,0.62905,-0.64121,0.75817,1.0,red
3.7791,2.5762,1.3098,0.5655,0.0,green
-0.11996,6.8741,0.91995,-0.6694,0.0,green
-0.036127,1.525,-1.4089,-0.76121,1.0,red
-1.0292,-6.3879,5.5255,0.79955,1.0,red
3.6277,0.9829,0.68861,0.63403,0.0,green
3.4566,9.5228,-4.0112,-3.5944,0.0,green
-5.119,6.6486,-0.049987,-6.5206,1.0,red
3.9479,-3.7723,2.883,0.019813,0.0,green
3.0672,-4.4117,3.8238,-0.81682,0.0,green
-3.506,-12.5667,15.1606,-0.75216,1.0,red
1.9157,6.0816,0.23705,-2.0116,0.0,green
-5.0477,-5.8023,11.244,-0.3901,1.0,red
-1.2568,-1.4733,2.8718,0.44653,1.0,red
3.6244,1.4609,1.3501,1.9284,0.0,green
0.040498,8.5234,1.4461,-3.9306,0.0,green
-1.8076,-8.8131,8.7086,-0.21682,1.0,red
1.6988,2.9094,2.9044,0.11033,0.0,green
-3.8167,5.1401,-0.65063,-5.4306,1.0,red
-0.10234,1.8189,-2.2169,-0.56725,1.0,red
-1.7279,-6.841,8.9494,0.68058,1.0,red
-1.5681,-7.2446,6.5537,-0.1276,1.0,red
1.0552,1.1857,-2.6411,0.11033,1.0,red
-0.23356,3.2405,-3.0669,-2.7784,1.0,red
0.26517,2.4066,-2.8416,-0.59958,1.0,red
-6.1632,8.7096,-0.21621,-3.6345,1.0,red
1.9105,8.871,-2.3386,-0.75604,0.0,green
-0.98193,2.7956,-1.2341,-1.5668,1.0,red
3.9121,2.9735,0.92852,0.60558,0.0,green
-5.525,6.3258,0.89768,-6.6241,1.0,red
-0.2951,9.0489,-0.52725,-2.0789,0.0,green
-3.3793,-13.7731,17.9274,-2.0323,1.0,red
-1.6162,0.80908,8.1628,0.60817,0.0,green
0.6005,1.9327,-3.2888,-0.32415,1.0,red
0.30081,0.17381,-1.7542,0.48921,1.0,red
4.6361,-2.6611,2.8358,1.1991,0.0,green
-4.2932,3.3419,0.77258,-0.99785,1.0,red
4.8272,3.0687,0.68604,0.80731,0.0,green
-2.9786,2.3445,0.52667,-0.40173,1.0,red
2.2279,4.0951,-4.8037,-2.1112,1.0,red
-4.3967,4.9601,-0.64892,-5.4719,1.0,red
0.57461,10.1105,-1.6917,-4.3922,0.0,green
-2.902,-7.6563,11.8318,-0.84268,1.0,red
3.5257,1.2829,1.9276,1.7991,0.0,green
5.6084,10.3009,-4.8003,-4.3534,0.0,green
4.1542,7.2756,-2.4766,-1.2099,0.0,green
0.17346,7.8695,0.26876,-3.7883,0.0,green
3.2403,-3.7082,5.2804,0.41291,0.0,green
1.2572,4.8731,-5.2861,-5.8741,1.0,red
2.6648,10.754,-3.3994,-4.1685,0.0,green
-1.8391,-9.0883,9.2416,-0.10432,1.0,red
4.3365,-3.584,3.6884,0.74912,0.0,green
2.5227,2.2369,2.7236,0.79438,0.0,green
-0.60254,1.7237,-2.1501,-0.77027,1.0,red
2.5581,2.6218,1.8513,0.40257,0.0,green
-1.0112,2.9984,-1.1664,-1.6185,1.0,red
1.8799,2.4707,2.4931,0.37671,0.0,green
-2.0962,-7.1059,6.6188,-0.33708,1.0,red
0.051979,7.0521,-2.0541,-3.1508,0.0,green
0.88298,0.66009,6.0096,-0.43277,0.0,green
-1.7322,-9.2828,7.719,-1.7168,1.0,red
0.46901,-0.63321,7.3848,0.36507,0.0,green
5.0429,-0.52974,0.50439,1.106,0.0,green
2.7206,9.0821,-3.3111,-0.96811,0.0,green
3.8023,-3.8696,4.044,0.95343,0.0,green
1.7939,-1.1174,1.5454,-0.26079,0.0,green
-1.6029,-0.38903,1.62,1.9103,1.0,red
-4.3876,-7.7267,11.9655,-1.4543,1.0,red
5.7823,5.5788,-2.4089,-0.056479,0.0,green
2.7296,2.8701,0.51124,0.5099,0.0,green
-3.6817,3.2239,-0.69347,-3.4004,1.0,red
5.2423,11.0272,-4.353,-4.1013,0.0,green
3.7767,9.7794,-3.9075,-3.5323,0.0,green
1.742,-4.809,8.2142,-2.0659,0.0,green
1.6408,4.2503,-4.9023,-2.6621,1.0,red
-3.2854,4.0372,-0.45356,-1.8228,1.0,red
-3.1366,0.42212,2.6225,-0.064238,1.0,red
3.8244,-3.1081,2.4537,0.52024,0.0,green
-2.2918,-7.257,7.9597,0.9211,1.0,red
-0.37013,-5.554,4.7749,1.547,1.0,red
2.483,6.6155,-0.79287,-0.90863,0.0,green
1.4578,-0.08485,4.1785,0.59136,0.0,green
3.5127,2.9073,1.0579,0.40774,0.0,green
2.4287,9.3821,-3.2477,-1.4543,0.0,green
0.2952,4.8856,-5.149,-6.2323,1.0,red
1.9476,-4.7738,8.527,-1.8668,0.0,green
-1.5951,-6.572,4.7689,-0.94354,1.0,red
-1.3907,-1.3781,2.3055,-0.021566,1.0,red
0.80355,2.8473,4.3439,0.6017,0.0,green
-1.4446,2.1438,-0.47241,-1.6677,1.0,red
2.2504,3.5757,0.35273,0.2836,0.0,green
-2.8391,-6.63,10.4849,-0.42113,1.0,red
-2.7419,11.4038,2.5394,-5.5793,0.0,green
1.2198,2.0982,-3.1954,0.12843,1.0,red
1.8993,7.6625,0.15394,-3.1108,0.0,green
2.2928,9.0386,-3.2417,-1.2991,0.0,green
0.3798,0.7098,0.7572,-0.4444,0.0,green
2.8523,9.0096,-3.761,-3.3371,0.0,green
0.85574,0.0082678,6.6042,-0.53104,0.0,green
-0.49241,0.89392,-1.6283,-0.56854,1.0,red
-2.1652,3.0211,-2.4132,-2.4241,1.0,red
-1.4375,-1.8624,4.026,0.55127,1.0,red
1.105,7.4432,0.41099,-3.0332,0.0,green
5.8782,5.9409,-2.8544,-0.60863,0.0,green
5.0617,-0.35799,0.44698,0.99868,0.0,green
1.6426,3.0149,0.22849,-0.147,0.0,green
-1.4454,-8.4385,8.8483,0.96894,1.0,red
-0.13144,-1.7775,8.3316,0.35214,0.0,green
0.39559,6.8866,1.0588,-0.67587,0.0,green
2.4486,-6.3175,7.9632,0.20602,0.0,green
6.0919,2.9673,-1.3267,1.4551,0.0,green
3.2692,3.4184,0.20706,-0.066824,0.0,green
0.50813,0.47799,-1.9804,0.57714,1.0,red
-1.6514,-8.4985,9.1122,1.2379,1.0,red
-0.49081,2.8452,-3.6436,-3.1004,1.0,red
-0.69572,8.6165,1.8419,-4.3289,0.0,green
1.4806,7.6377,-2.7876,-1.0341,0.0,green
2.2091,7.4556,-1.3284,-3.3021,0.0,green
0.0071249,8.3661,0.50781,-3.8155,0.0,green
-4.1479,7.1225,-0.083404,-6.4172,1.0,red
1.7748,-0.76978,5.5854,1.3039,0.0,green
4.9249,0.68906,0.77344,1.2095,0.0,green
3.6289,0.81322,1.6277,0.77627,0.0,green
-2.4365,3.6026,-1.4166,-2.8948,1.0,red
-0.8471,3.1329,-3.0112,-2.9388,1.0,red
4.0026,-3.5943,3.5573,0.26809,0.0,green
-5.3012,7.3915,0.029699,-7.3987,1.0,red
2.1881,2.7356,1.3278,-0.1832,0.0,green
-4.0679,2.4955,0.79571,-1.1039,1.0,red
0.25943,5.0097,-5.0394,-6.3862,1.0,red
-2.2214,-0.23798,0.56008,0.05602,1.0,red
3.8117,10.1457,-4.0463,-4.5629,0.0,green
2.8297,6.3485,-0.73546,-0.58665,0.0,green
3.5189,6.332,-1.7791,-0.020273,0.0,green
-4.8426,-4.9932,10.4052,-0.53104,1.0,red
-2.4554,-9.0407,8.862,-0.86983,1.0,red
-2.1668,1.5933,0.045122,-1.678,1.0,red
0.049175,6.1437,1.7828,-0.72113,0.0,green
-1.6001,-9.5828,9.4044,0.081882,1.0,red
1.581,0.86909,-2.3138,0.82412,1.0,red
1.3562,3.2136,4.3465,0.78662,0.0,green
-0.4294,-0.14693,0.044265,-0.15605,1.0,red
2.2517,-5.1422,4.2916,-1.2487,0.0,green
0.90407,3.3708,-4.4987,-3.6965,1.0,red
4.0296,2.6756,0.80685,0.71679,0.0,green
-4.2091,4.7283,-0.49126,-5.2159,1.0,red
5.438,9.4669,-4.9417,-3.9202,0.0,green
-2.234,-7.0314,7.4936,0.61334,1.0,red
4.9264,5.496,-2.4774,-0.50648,0.0,green
0.83292,7.5404,0.65005,-0.92544,0.0,green
-1.8356,-6.7562,5.0585,-0.55044,1.0,red
-0.96511,9.4111,1.7305,-4.8629,0.0,green
-1.7479,-5.823,5.8699,1.212,1.0,red
5.591,10.4643,-4.3839,-4.3379,0.0,green
-1.0116,-0.19038,-0.90597,0.003003,1.0,red
2.3729,10.4726,-3.0087,-3.2013,0.0,green
5.0297,-4.9704,3.5025,-0.23751,0.0,green
0.77805,6.6424,-1.1425,-1.0573,0.0,green
0.96441,5.8395,2.3235,0.066365,0.0,green
-1.8448,1.254,0.27218,-1.0728,1.0,red
-3.7503,-13.4586,17.5932,-2.7771,1.0,red
-0.21661,8.0329,1.8848,-3.8853,0.0,green
4.4682,2.2907,0.95766,0.83058,0.0,green
0.98296,3.4226,-3.9692,-1.7116,1.0,red
-5.4414,7.2363,0.10938,-7.5642,1.0,red
2.7391,7.4018,0.071684,-2.5302,0.0,green
2.2123,-5.8395,7.7687,-0.85302,0.0,green
-2.1234,1.1815,-0.55552,-0.81165,1.0,red
1.5478,9.1814,-1.6326,-1.7375,0.0,green
1.5631,0.89599,-1.9702,0.65472,1.0,red
1.4276,8.3847,-2.0995,-1.9677,0.0,green
0.38478,6.5989,-0.3336,-0.56466,0.0,green
-2.6864,-0.097265,0.61663,0.061192,1.0,red
3.6582,5.6864,-1.7157,-0.23751,0.0,green
0.32924,-4.4552,4.5718,-0.9888,0.0,green
2.1616,-6.8804,8.1517,-0.081048,0.0,green
0.74841,7.2756,1.1504,-0.5388,0.0,green
4.1665,-0.4449,0.23448,0.27843,0.0,green
1.8114,7.6067,-0.9788,-2.4668,0.0,green
4.7181,10.0153,-3.9486,-3.8582,0.0,green
0.7049,0.17174,-1.7859,0.36119,1.0,red
2.5678,3.5136,0.61406,-0.40691,0.0,green
0.44125,2.9487,4.3225,0.7155,0.0,green
4.5707,7.2094,-3.2794,-1.4944,0.0,green
2.5068,1.1588,3.9249,0.12585,0.0,green
1.3234,3.2964,0.2362,-0.11984,0.0,green
-1.4628,-1.5706,2.4357,0.49826,1.0,red
4.4295,-2.3507,1.7048,0.90946,0.0,green
-3.5637,-8.3827,12.393,-1.2823,1.0,red
0.63655,5.2022,-5.2159,-6.1211,1.0,red
-1.1188,3.3357,-1.3455,-1.9573,1.0,red
0.025013,3.3998,-4.4327,-4.2655,1.0,red
